1956,-0.27
1957,0.02
1958,0.11
1959,0.12
1960,-0.06
1961,0.15
1962,0.11
1963,0.03
1964,-0.20
1965,-0.18
1966,-0.07
1967,0.01
1968,-0.07
1969,0.18
1970,0.13
1971,-0.10
1972,0.07
1973,0.29
1974,-0.05
1975,0.08
1976,0.00
1977,0.29
1978,0.13
1979,0.12
1980,0.33
1981,0.36
1982,0.22
1983,0.29
1984,0.14
1985,0.15
1986,0.27
1987,0.30
1988,0.46
1989,0.29
1990,0.54
1991,0.52
1992,0.31
1993,0.31
1994,0.36
1995,0.45
1996,0.27
1997,0.42
1998,0.76
1999,0.47
2000,0.64
2001,0.59
2002,0.58
2003,0.58
2004,0.60
2005,0.72
2006,0.52
2007,0.73
2008,0.49
2009,0.62
2010,0.85
2011,0.62
2012,0.73
2013,0.59
2014,0.81
2015,0.81
2016,1.12
2017,0.92
2018,0.84
2019,0.97
2020,1.05
2021,0.79
2022,0.85
